Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
Filipino,Asia,Undergraduate school,21,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, RPG, Simulation, Sports",Every week,1. Everyday,Trading & talking to villagers
USA,US/Canada,High school,21,White,"Single, never married",A student,More than 3 years,"RPG, Simulation, Strategy",Everyday,1. Everyday,Fishing
American ,US/Canada,Undergraduate school,21,White,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every week,2. Almost everyday,Terraforming
USA,US/Canada,Undergraduate school,22,Asian,"Single, never married",Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy",Every week,6. Less than every month,Terraforming
China,Asia,Undergraduate school,22,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,3. Every week,Catching bugs
Vietnamese,Asia,High school,22,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,2. Almost everyday,Terraforming
Vietnamese,Asia,Undergraduate school,22,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation, Strategy",Less than every month,2. Almost everyday,"Collecting all items (bugs, fish, furniture and outfits), trading turnips"
Vietnamese,Asia,High school,22,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1. Everyday,Talking to villagers
Vietnamese,Asia,Undergraduate school,22,Asian,"Single, never married",A student,More than 3 years,"Action, RPG, Simulation, Strategy",Everyday,3. Every week,Planting trees/flowers
Vietnam,Asia,Undergraduate school,22,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, Sports",Almost every week,2. Almost everyday,Planting trees/flowers
 American,US/Canada,Undergraduate school,22,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
United States,US/Canada,Undergraduate school,22,White,"Single, never married",Employed for wages,1-2 years,RPG,Almost everyday,3. Every week,Planting trees/flowers
United States,US/Canada,High school,22,Black or African American,"Single, never married",Self-employed,2-3 years,"Strategy, Sports",Almost everyday,2. Almost everyday,Fishing
United States,US/Canada,High school,22,White,"Single, never married",A student,1-2 years,Simulation,Every week,2. Almost everyday,Planting trees/flowers
USA,US/Canada,High school,22,White,"Single, never married",Out of work and looking for work,More than 3 years,"Simulation, Strategy",Everyday,1. Everyday,Fishing
America,US/Canada,Undergraduate school,22,White,"Single, never married",A student,2-3 years,"Action, RPG, Simulation",Almost everyday,3. Every week,Catching bugs
Viet Nam,Asia,Undergraduate school,22,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy, Platform",Almost everyday,1. Everyday,Terraforming
usa,US/Canada,Undergraduate school,22,Asian,Married or domestic partnership,Employed for wages,More than 3 years,"Adventure, RPG, Simulation, Strategy, Sports",Every week,2. Almost everyday,Catching bugs
Canadian,US/Canada,High school,22,White,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Designing/decorating
Asian,Asia,Undergraduate school,22,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, Strategy, FPS MMORPG",Everyday,2. Almost everyday,Fishing
British,EU,Graduate school and higher,22,White,Married or domestic partnership,Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,2. Almost everyday,Fishing
British,EU,Graduate school and higher,22,White,"Single, never married",Self-employed,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,Terraforming
Filipino,Asia,Undergraduate school,22,Asian,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Adventure, RPG, Simulation",Everyday,1. Everyday,talking to my villagers
British,EU,Undergraduate school,22,White,Married or domestic partnership,A student,More than 3 years,Simulation,Everyday,1. Everyday,Planting trees/flowers
American,US/Canada,High school,22,White,"Single, never married",Out of work and looking for work,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,1. Everyday,Catching bugs
American,US/Canada,High school,22,White,Separated,Unable to work,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Collecting things
American,US/Canada,Undergraduate school,22,White,Married or domestic partnership,A student,0-1 years,"Adventure, Simulation, Strategy",Everyday,1. Everyday,Fishing
British,EU,Undergraduate school,22,White,Married or domestic partnership,Out of work but not currently looking for work,0-1 years,Adventure,Less than every month,1. Everyday,Fishing
British,EU,Undergraduate school,22,White,"Single, never married",A student,More than 3 years,"Action, Adventure, Strategy",Everyday,1. Everyday,Fishing
American,US/Canada,Graduate school and higher,22,White,"Single, never married",Unable to work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Catching bugs
American,US/Canada,Undergraduate school,22,White,"Single, never married",Out of work and looking for work,More than 3 years,"RPG, Simulation, Strategy",Every week,2. Almost everyday,Planting trees/flowers
American,US/Canada,Undergraduate school,22,Other,"Single, never married",A student,More than 3 years,Simulation,Everyday,1. Everyday,Terraforming
American ,US/Canada,Undergraduate school,22,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG",Almost everyday,1. Everyday,Fishing
American,US/Canada,Undergraduate school,22,White,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Simulation",Every month,1. Everyday,Decorating
Filipino,Asia,Undergraduate school,22,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,2. Almost everyday,Terraforming
Filipino,Asia,Undergraduate school,22,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,1. Everyday,Fishing
Filipino,Asia,Undergraduate school,22,Asian,"Single, never married",Out of work but not currently looking for work,0-1 years,"Simulation, Strategy",Almost everyday,1. Everyday,Fishing
"German, Native American ",US/Canada,Undergraduate school,22,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,2. Almost everyday,Decorating/Designing my island
Filipino,Asia,Undergraduate school,22,Asian,"Single, never married",Out of work and looking for work,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,1. Everyday,Terraforming
Vietnam,Asia,Undergraduate school,23,Asian,"Single, never married",A student,1-2 years,"Adventure, Simulation, Strategy, puzzle, trivia",Almost everyday,2. Almost everyday,Planting trees/flowers
Vietnam,Asia,High school,23,Asian,"Single, never married",A student,More than 3 years,"Adventure, RPG, Strategy",Every week,1. Everyday,Planting trees/flowers
Vietnam,Asia,High school,23,Asian,"Single, never married",A student,More than 3 years,"Action, RPG, Simulation",Everyday,2. Almost everyday,Talking with villagers and contemplating the scenery
Vietnam,Asia,High school,23,Asian,"Single, never married",Self-employed,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Vieynam,Asia,Graduate school and higher,23,Asian,"Single, never married",Employed for wages,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost every week,2. Almost everyday,Terraforming
Vietnamese,Asia,Undergraduate school,23,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,6. Less than every month,Fishing
Vietnamese,Asia,Undergraduate school,23,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,6. Less than every month,Fishing
Vietnamese,Asia,Graduate school and higher,23,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Sports",Almost everyday,2. Almost everyday,Fishing
Vietnamese,Asia,Undergraduate school,23,Asian,"Single, never married",Employed for wages,2-3 years,"Simulation, Strategy",Less than every month,3. Every week,Terraforming
Filipino,Asia,Undergraduate school,23,Asian,"Single, never married",Out of work but not currently looking for work,More than 3 years,"RPG, Simulation, Sports",Everyday,1. Everyday,Fishing
America,US/Canada,Undergraduate school,23,White,"Single, never married",A student,1-2 years,"Adventure, RPG",Every week,3. Every week,Planting trees/flowers
USA,US/Canada,Undergraduate school,23,White,"Single, never married",Out of work but not currently looking for work,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1. Everyday,Terraforming
United States,US/Canada,Graduate school and higher,23,White,"Single, never married",Employed for wages,More than 3 years,"Action, RPG, Simulation",Every week,1. Everyday,Decorating
Chinese,Asia,Graduate school and higher,23,Asian,"Single, never married",Employed for wages,More than 3 years,"RPG, Simulation",Everyday,1. Everyday,Decorating
